"_time","source_subnet","ip_dst","unique_scanners","ports_scanned","total_packets","alert_severity","alert_message"
"2024-08-19T19:00:00.000-0500","194.26.29.0/24","203.161.44.208",5,7,14,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T19:10:00.000-0500","194.26.29.0/24","203.161.44.208",5,9,17,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T19:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,17,33,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:30:00.000-0500","79.110.62.0/24","203.161.44.208",3,14,28,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:40:00.000-0500","194.26.29.0/24","203.161.44.208",6,7,14,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T19:40:00.000-0500","79.110.62.0/24","203.161.44.208",3,20,39,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:40:00.000-0500","79.124.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:50:00.000-0500","79.110.62.0/24","203.161.44.208",3,15,30,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T19:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,10,20,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:10:00.000-0500","194.26.29.0/24","203.161.44.208",7,10,20,CRITICAL,"Coordinated botnet scan: 7 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T20:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,13,26,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:30:00.000-0500","194.26.29.0/24","203.161.44.208",4,7,14,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T20:30:00.000-0500","79.110.62.0/24","203.161.44.208",4,19,39,CRITICAL,"Coordinated botnet scan: 4 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T20:50:00.000-0500","194.26.29.0/24","203.161.44.208",4,7,14,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T21:00:00.000-0500","194.26.29.0/24","203.161.44.208",5,6,12,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T21:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T21:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T21:40:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T22:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T22:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,14,28,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
